Município;Cargo;Número;Nome do Candidato;Nome para Urna;Votos Computados;% Votos Computados;Destinação de Votos;Situação da Totalização;Partido;Partido/Coligação
"JUAZEIRO DO NORTE";"Vereador            ";"33100";"MARIA VERÍSSIMO DE SOUSA";"VERA";88;0,07;"Válido";"Suplente";"PMN";"PMN"
"JUAZEIRO DO NORTE";"Vereador            ";"43111";"RAIMUNDO NOELHO COSTA DE ALMEIDA";"ALMEIDA DAS PORTAS";86;0,06;"Válido";"Não eleito";"PV";"PV"
"JUAZEIRO DO NORTE";"Vereador            ";"36231";"GRACILIANO ALVES DOS SANTOS";"GRACILIANO ALVES";86;0,06;"Válido";"Não eleito";"PTC";"PTC"
"JUAZEIRO DO NORTE";"Vereador            ";"13222";"LUIZ MOURA DO NASCIMENTO";"LUIZ MOURA";85;0,06;"Válido";"Não eleito";"PT";"PT"
"JUAZEIRO DO NORTE";"Vereador            ";"27127";"ALCIONE ANDRELINO DOS SANTOS";"ALCIONE SANTOS LOCUTOR";85;0,06;"Válido";"Suplente";"DC";"DC"
"JUAZEIRO DO NORTE";"Vereador            ";"55999";"CICERA SALES DE MOURA";"CICINHA SALES";85;0,06;"Válido";"Suplente";"PSD";"PSD"
"JUAZEIRO DO NORTE";"Vereador            ";"70700";"DANTAS GONÇALVES DUARTE";"PESCOCINHO";84;0,06;"Válido";"Não eleito";"AVANTE";"AVANTE"
"JUAZEIRO DO NORTE";"Vereador            ";"40444";"NILTON CESAR DA SILVA";"CÉSAR";83;0,06;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"14567";"MARINETE CORDEIRO DE OLIVEIRA";"MARINETE";82;0,06;"Válido";"Suplente";"PTB";"PTB"
"JUAZEIRO DO NORTE";"Vereador            ";"40333";"ANA PAULA DE ALENCAR SANTIAGO";"ANA PAULA ANDRADE";82;0,06;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"40123";"JOZELUCIA PONTES DE ARAUJO";"JÔ DO NÓ";80;0,06;"Válido";"Suplente";"PSB";"PSB"
"JUAZEIRO DO NORTE";"Vereador            ";"13153";"PAULO EMILIO CORDEIRO CAMPOS";"PAULO EMILIO";79;0,06;"Válido";"Não eleito";"PT";"PT"
